"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,82632,"Qatar","QAT"
1,2,59330,"Qatar","QAT"
1,3,49069,"Qatar","QAT"
1,4,71363,"Qatar","QAT"
1,5,81588,"Qatar","QAT"
1,6,47447,"Qatar","QAT"
1,7,44057,"Qatar","QAT"
2,1,59330,"Qatar","QAT"
2,2,256343,"Qatar","QAT"
2,3,128308,"Qatar","QAT"
2,4,52023,"Qatar","QAT"
2,5,69070,"Qatar","QAT"
2,6,63354,"Qatar","QAT"
2,7,79894,"Qatar","QAT"
3,1,49069,"Qatar","QAT"
3,2,128308,"Qatar","QAT"
3,3,500940,"Qatar","QAT"
3,4,51117,"Qatar","QAT"
3,5,48516,"Qatar","QAT"
3,6,111726,"Qatar","QAT"
3,7,38901,"Qatar","QAT"
4,1,71363,"Qatar","QAT"
4,2,52023,"Qatar","QAT"
4,3,51117,"Qatar","QAT"
4,4,171037,"Qatar","QAT"
4,5,69832,"Qatar","QAT"
4,6,49076,"Qatar","QAT"
4,7,42104,"Qatar","QAT"
5,1,81588,"Qatar","QAT"
5,2,69070,"Qatar","QAT"
5,3,48516,"Qatar","QAT"
5,4,69832,"Qatar","QAT"
5,5,118661,"Qatar","QAT"
5,6,55564,"Qatar","QAT"
5,7,57967,"Qatar","QAT"
6,1,47447,"Qatar","QAT"
6,2,63354,"Qatar","QAT"
6,3,111726,"Qatar","QAT"
6,4,49076,"Qatar","QAT"
6,5,55564,"Qatar","QAT"
6,6,3328338,"Qatar","QAT"
6,7,51255,"Qatar","QAT"
7,1,44057,"Qatar","QAT"
7,2,79894,"Qatar","QAT"
7,3,38901,"Qatar","QAT"
7,4,42104,"Qatar","QAT"
7,5,57967,"Qatar","QAT"
7,6,51255,"Qatar","QAT"
7,7,161944,"Qatar","QAT"
