"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,111366,"Saudi Arabia","SAU"
1,10,35237,"Saudi Arabia","SAU"
1,11,17201,"Saudi Arabia","SAU"
1,12,26094,"Saudi Arabia","SAU"
1,13,14048,"Saudi Arabia","SAU"
1,2,20918,"Saudi Arabia","SAU"
1,3,11963,"Saudi Arabia","SAU"
1,4,11653,"Saudi Arabia","SAU"
1,5,12984,"Saudi Arabia","SAU"
1,6,11461,"Saudi Arabia","SAU"
1,7,14096,"Saudi Arabia","SAU"
1,8,10108,"Saudi Arabia","SAU"
1,9,12277,"Saudi Arabia","SAU"
10,1,35237,"Saudi Arabia","SAU"
10,10,406915,"Saudi Arabia","SAU"
10,11,31527,"Saudi Arabia","SAU"
10,12,32619,"Saudi Arabia","SAU"
10,13,17215,"Saudi Arabia","SAU"
10,2,20084,"Saudi Arabia","SAU"
10,3,12700,"Saudi Arabia","SAU"
10,4,12784,"Saudi Arabia","SAU"
10,5,17402,"Saudi Arabia","SAU"
10,6,10685,"Saudi Arabia","SAU"
10,7,17880,"Saudi Arabia","SAU"
10,8,11520,"Saudi Arabia","SAU"
10,9,13613,"Saudi Arabia","SAU"
11,1,17201,"Saudi Arabia","SAU"
11,10,31527,"Saudi Arabia","SAU"
11,11,38205,"Saudi Arabia","SAU"
11,12,16211,"Saudi Arabia","SAU"
11,13,12547,"Saudi Arabia","SAU"
11,2,16162,"Saudi Arabia","SAU"
11,3,9744,"Saudi Arabia","SAU"
11,4,9650,"Saudi Arabia","SAU"
11,5,15850,"Saudi Arabia","SAU"
11,6,9473,"Saudi Arabia","SAU"
11,7,12958,"Saudi Arabia","SAU"
11,8,8930,"Saudi Arabia","SAU"
11,9,10524,"Saudi Arabia","SAU"
12,1,26094,"Saudi Arabia","SAU"
12,10,32619,"Saudi Arabia","SAU"
12,11,16211,"Saudi Arabia","SAU"
12,12,365693,"Saudi Arabia","SAU"
12,13,13610,"Saudi Arabia","SAU"
12,2,14692,"Saudi Arabia","SAU"
12,3,12081,"Saudi Arabia","SAU"
12,4,12458,"Saudi Arabia","SAU"
12,5,12339,"Saudi Arabia","SAU"
12,6,11618,"Saudi Arabia","SAU"
12,7,15431,"Saudi Arabia","SAU"
12,8,11024,"Saudi Arabia","SAU"
12,9,12190,"Saudi Arabia","SAU"
13,1,14048,"Saudi Arabia","SAU"
13,10,17215,"Saudi Arabia","SAU"
13,11,12547,"Saudi Arabia","SAU"
13,12,13610,"Saudi Arabia","SAU"
13,13,190718,"Saudi Arabia","SAU"
13,2,11899,"Saudi Arabia","SAU"
13,3,13741,"Saudi Arabia","SAU"
13,4,18360,"Saudi Arabia","SAU"
13,5,13882,"Saudi Arabia","SAU"
13,6,11212,"Saudi Arabia","SAU"
13,7,12502,"Saudi Arabia","SAU"
13,8,9687,"Saudi Arabia","SAU"
13,9,13485,"Saudi Arabia","SAU"
2,1,20918,"Saudi Arabia","SAU"
2,10,20084,"Saudi Arabia","SAU"
2,11,16162,"Saudi Arabia","SAU"
2,12,14692,"Saudi Arabia","SAU"
2,13,11899,"Saudi Arabia","SAU"
2,2,330725,"Saudi Arabia","SAU"
2,3,10444,"Saudi Arabia","SAU"
2,4,10659,"Saudi Arabia","SAU"
2,5,11224,"Saudi Arabia","SAU"
2,6,10364,"Saudi Arabia","SAU"
2,7,10750,"Saudi Arabia","SAU"
2,8,8523,"Saudi Arabia","SAU"
2,9,11140,"Saudi Arabia","SAU"
3,1,11963,"Saudi Arabia","SAU"
3,10,12700,"Saudi Arabia","SAU"
3,11,9744,"Saudi Arabia","SAU"
3,12,12081,"Saudi Arabia","SAU"
3,13,13741,"Saudi Arabia","SAU"
3,2,10444,"Saudi Arabia","SAU"
3,3,367837,"Saudi Arabia","SAU"
3,4,29250,"Saudi Arabia","SAU"
3,5,10146,"Saudi Arabia","SAU"
3,6,12147,"Saudi Arabia","SAU"
3,7,12310,"Saudi Arabia","SAU"
3,8,11970,"Saudi Arabia","SAU"
3,9,13528,"Saudi Arabia","SAU"
4,1,11653,"Saudi Arabia","SAU"
4,10,12784,"Saudi Arabia","SAU"
4,11,9650,"Saudi Arabia","SAU"
4,12,12458,"Saudi Arabia","SAU"
4,13,18360,"Saudi Arabia","SAU"
4,2,10659,"Saudi Arabia","SAU"
4,3,29250,"Saudi Arabia","SAU"
4,4,279705,"Saudi Arabia","SAU"
4,5,9700,"Saudi Arabia","SAU"
4,6,11177,"Saudi Arabia","SAU"
4,7,10700,"Saudi Arabia","SAU"
4,8,9417,"Saudi Arabia","SAU"
4,9,13439,"Saudi Arabia","SAU"
5,1,12984,"Saudi Arabia","SAU"
5,10,17402,"Saudi Arabia","SAU"
5,11,15850,"Saudi Arabia","SAU"
5,12,12339,"Saudi Arabia","SAU"
5,13,13882,"Saudi Arabia","SAU"
5,2,11224,"Saudi Arabia","SAU"
5,3,10146,"Saudi Arabia","SAU"
5,4,9700,"Saudi Arabia","SAU"
5,5,81160,"Saudi Arabia","SAU"
5,6,10640,"Saudi Arabia","SAU"
5,7,11372,"Saudi Arabia","SAU"
5,8,8629,"Saudi Arabia","SAU"
5,9,10838,"Saudi Arabia","SAU"
6,1,11461,"Saudi Arabia","SAU"
6,10,10685,"Saudi Arabia","SAU"
6,11,9473,"Saudi Arabia","SAU"
6,12,11618,"Saudi Arabia","SAU"
6,13,11212,"Saudi Arabia","SAU"
6,2,10364,"Saudi Arabia","SAU"
6,3,12147,"Saudi Arabia","SAU"
6,4,11177,"Saudi Arabia","SAU"
6,5,10640,"Saudi Arabia","SAU"
6,6,108290,"Saudi Arabia","SAU"
6,7,13814,"Saudi Arabia","SAU"
6,8,9377,"Saudi Arabia","SAU"
6,9,14535,"Saudi Arabia","SAU"
7,1,14096,"Saudi Arabia","SAU"
7,10,17880,"Saudi Arabia","SAU"
7,11,12958,"Saudi Arabia","SAU"
7,12,15431,"Saudi Arabia","SAU"
7,13,12502,"Saudi Arabia","SAU"
7,2,10750,"Saudi Arabia","SAU"
7,3,12310,"Saudi Arabia","SAU"
7,4,10700,"Saudi Arabia","SAU"
7,5,11372,"Saudi Arabia","SAU"
7,6,13814,"Saudi Arabia","SAU"
7,7,29191,"Saudi Arabia","SAU"
7,8,11674,"Saudi Arabia","SAU"
7,9,12609,"Saudi Arabia","SAU"
