"nodeCode","nodeID","name","longitude","latitude"
"SAU1",1,"`Asir",42.994281683225,19.2718084568197
"SAU2",2,"Al Bahah",41.4150158999671,20.1059202031533
"SAU3",3,"Al Hudud ash Shamaliyah",42.0402665251312,29.896004815131
"SAU4",4,"Al Jawf",38.746826741965,29.6731117260581
"SAU5",5,"Al Madinah",39.5171502139533,24.8895257099034
"SAU6",6,"Al Quassim",43.2193293542254,25.9461628271808
"SAU7",7,"Ar Riyad",45.5500396440059,23.0685284758544
"SAU8",8,"Ash Sharqiyah",50.1523197367472,22.9151423504014
"SAU9",9,"Ha'il",41.6078146758761,27.3490182025582
"SAU10",10,"Jizan",42.603201101935,17.349268202798
"SAU11",11,"Makkah",41.2082226988317,21.6263084412115
"SAU12",12,"Najran",45.8263920101339,18.2839898092641
"SAU13",13,"Tabuk",37.2948395687609,27.3870377330575
