"nodeCode","nodeID","name","longitude","latitude"
"SEN1",1,"Dakar",-17.2654175478361,14.754650571506
"SEN2",2,"Diourbel",-16.1206116842683,14.7809624982575
"SEN3",3,"Fatick",-16.3472895414217,14.1563309739853
"SEN4",4,"Kaffrine",-15.1857204460953,14.219090093698
"SEN5",5,"Kaolack",-15.9326011091353,13.9710220926432
"SEN6",6,"Kédougou",-12.1949130948084,12.8434187777544
"SEN7",7,"Kolda",-14.4166243555469,13.0301931146658
"SEN8",8,"Louga",-15.5416136085743,15.4265668134436
"SEN9",9,"Matam",-13.7275832801207,15.143359005691
"SEN10",10,"Saint-Louis",-15.0005727036908,16.1755700575827
"SEN11",11,"Sédhiou",-15.5869117251822,12.8932391227058
"SEN12",12,"Tambacounda",-13.2250810760774,13.8919794479097
"SEN13",13,"Thiès",-16.7543554287109,14.8318381250595
"SEN14",14,"Ziguinchor",-16.3739666103846,12.7792819617972
