"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,115617,"Singapore","SGP"
1,2,150656,"Singapore","SGP"
1,3,154888,"Singapore","SGP"
1,4,140885,"Singapore","SGP"
1,5,125721,"Singapore","SGP"
2,1,150656,"Singapore","SGP"
2,2,356933,"Singapore","SGP"
2,3,260659,"Singapore","SGP"
2,4,198117,"Singapore","SGP"
2,5,150741,"Singapore","SGP"
3,1,154888,"Singapore","SGP"
3,2,260659,"Singapore","SGP"
3,3,333055,"Singapore","SGP"
3,4,224955,"Singapore","SGP"
3,5,163875,"Singapore","SGP"
4,1,140885,"Singapore","SGP"
4,2,198117,"Singapore","SGP"
4,3,224955,"Singapore","SGP"
4,4,359998,"Singapore","SGP"
4,5,215220,"Singapore","SGP"
5,1,125721,"Singapore","SGP"
5,2,150741,"Singapore","SGP"
5,3,163875,"Singapore","SGP"
5,4,215220,"Singapore","SGP"
5,5,304323,"Singapore","SGP"
