"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,2627048,"El Salvador","SLV"
1,10,66720,"El Salvador","SLV"
1,11,49121,"El Salvador","SLV"
1,12,185928,"El Salvador","SLV"
1,13,218063,"El Salvador","SLV"
1,14,45305,"El Salvador","SLV"
1,2,52397,"El Salvador","SLV"
1,3,64319,"El Salvador","SLV"
1,4,63756,"El Salvador","SLV"
1,5,82300,"El Salvador","SLV"
1,6,58746,"El Salvador","SLV"
1,7,40032,"El Salvador","SLV"
1,8,51604,"El Salvador","SLV"
1,9,46783,"El Salvador","SLV"
10,1,66720,"El Salvador","SLV"
10,10,282376,"El Salvador","SLV"
10,11,95511,"El Salvador","SLV"
10,12,59481,"El Salvador","SLV"
10,13,70310,"El Salvador","SLV"
10,14,60750,"El Salvador","SLV"
10,2,70016,"El Salvador","SLV"
10,3,106162,"El Salvador","SLV"
10,4,164055,"El Salvador","SLV"
10,5,147209,"El Salvador","SLV"
10,6,106506,"El Salvador","SLV"
10,7,40864,"El Salvador","SLV"
10,8,56386,"El Salvador","SLV"
10,9,55113,"El Salvador","SLV"
11,1,49121,"El Salvador","SLV"
11,10,95511,"El Salvador","SLV"
11,11,6405427,"El Salvador","SLV"
11,12,43319,"El Salvador","SLV"
11,13,49654,"El Salvador","SLV"
11,14,137177,"El Salvador","SLV"
11,2,264427,"El Salvador","SLV"
11,3,59485,"El Salvador","SLV"
11,4,359401,"El Salvador","SLV"
11,5,67049,"El Salvador","SLV"
11,6,238187,"El Salvador","SLV"
11,7,53699,"El Salvador","SLV"
11,8,63445,"El Salvador","SLV"
11,9,72089,"El Salvador","SLV"
12,1,185928,"El Salvador","SLV"
12,10,59481,"El Salvador","SLV"
12,11,43319,"El Salvador","SLV"
12,12,1347873,"El Salvador","SLV"
12,13,106489,"El Salvador","SLV"
12,14,35682,"El Salvador","SLV"
12,2,43071,"El Salvador","SLV"
12,3,89539,"El Salvador","SLV"
12,4,51156,"El Salvador","SLV"
12,5,121600,"El Salvador","SLV"
12,6,45540,"El Salvador","SLV"
12,7,29400,"El Salvador","SLV"
12,8,37034,"El Salvador","SLV"
12,9,39294,"El Salvador","SLV"
13,1,218063,"El Salvador","SLV"
13,10,70310,"El Salvador","SLV"
13,11,49654,"El Salvador","SLV"
13,12,106489,"El Salvador","SLV"
13,13,1910596,"El Salvador","SLV"
13,14,42241,"El Salvador","SLV"
13,2,48630,"El Salvador","SLV"
13,3,60438,"El Salvador","SLV"
13,4,61302,"El Salvador","SLV"
13,5,126056,"El Salvador","SLV"
13,6,57178,"El Salvador","SLV"
13,7,35329,"El Salvador","SLV"
13,8,42409,"El Salvador","SLV"
13,9,45302,"El Salvador","SLV"
14,1,45305,"El Salvador","SLV"
14,10,60750,"El Salvador","SLV"
14,11,137177,"El Salvador","SLV"
14,12,35682,"El Salvador","SLV"
14,13,42241,"El Salvador","SLV"
14,14,2945320,"El Salvador","SLV"
14,2,50998,"El Salvador","SLV"
14,3,42204,"El Salvador","SLV"
14,4,53979,"El Salvador","SLV"
14,5,47333,"El Salvador","SLV"
14,6,75733,"El Salvador","SLV"
14,7,105074,"El Salvador","SLV"
14,8,116593,"El Salvador","SLV"
14,9,344557,"El Salvador","SLV"
2,1,52397,"El Salvador","SLV"
2,10,70016,"El Salvador","SLV"
2,11,264427,"El Salvador","SLV"
2,12,43071,"El Salvador","SLV"
2,13,48630,"El Salvador","SLV"
2,14,50998,"El Salvador","SLV"
2,2,5036091,"El Salvador","SLV"
2,3,153126,"El Salvador","SLV"
2,4,280556,"El Salvador","SLV"
2,5,58626,"El Salvador","SLV"
2,6,62746,"El Salvador","SLV"
2,7,45029,"El Salvador","SLV"
2,8,57606,"El Salvador","SLV"
2,9,66351,"El Salvador","SLV"
3,1,64319,"El Salvador","SLV"
3,10,106162,"El Salvador","SLV"
3,11,59485,"El Salvador","SLV"
3,12,89539,"El Salvador","SLV"
3,13,60438,"El Salvador","SLV"
3,14,42204,"El Salvador","SLV"
3,2,153126,"El Salvador","SLV"
3,3,6378827,"El Salvador","SLV"
3,4,122902,"El Salvador","SLV"
3,5,81910,"El Salvador","SLV"
3,6,57105,"El Salvador","SLV"
3,7,38855,"El Salvador","SLV"
3,8,51172,"El Salvador","SLV"
3,9,46200,"El Salvador","SLV"
4,1,63756,"El Salvador","SLV"
4,10,164055,"El Salvador","SLV"
4,11,359401,"El Salvador","SLV"
4,12,51156,"El Salvador","SLV"
4,13,61302,"El Salvador","SLV"
4,14,53979,"El Salvador","SLV"
4,2,280556,"El Salvador","SLV"
4,3,122902,"El Salvador","SLV"
4,4,4099045,"El Salvador","SLV"
4,5,80712,"El Salvador","SLV"
4,6,107767,"El Salvador","SLV"
4,7,44170,"El Salvador","SLV"
4,8,50218,"El Salvador","SLV"
4,9,53458,"El Salvador","SLV"
5,1,82300,"El Salvador","SLV"
5,10,147209,"El Salvador","SLV"
5,11,67049,"El Salvador","SLV"
5,12,121600,"El Salvador","SLV"
5,13,126056,"El Salvador","SLV"
5,14,47333,"El Salvador","SLV"
5,2,58626,"El Salvador","SLV"
5,3,81910,"El Salvador","SLV"
5,4,80712,"El Salvador","SLV"
5,5,792027,"El Salvador","SLV"
5,6,80101,"El Salvador","SLV"
5,7,35422,"El Salvador","SLV"
5,8,42058,"El Salvador","SLV"
5,9,49307,"El Salvador","SLV"
6,1,58746,"El Salvador","SLV"
6,10,106506,"El Salvador","SLV"
6,11,238187,"El Salvador","SLV"
6,12,45540,"El Salvador","SLV"
6,13,57178,"El Salvador","SLV"
6,14,75733,"El Salvador","SLV"
6,2,62746,"El Salvador","SLV"
6,3,57105,"El Salvador","SLV"
6,4,107767,"El Salvador","SLV"
6,5,80101,"El Salvador","SLV"
6,6,2597707,"El Salvador","SLV"
6,7,43435,"El Salvador","SLV"
6,8,51041,"El Salvador","SLV"
6,9,54159,"El Salvador","SLV"
7,1,40032,"El Salvador","SLV"
7,10,40864,"El Salvador","SLV"
7,11,53699,"El Salvador","SLV"
7,12,29400,"El Salvador","SLV"
7,13,35329,"El Salvador","SLV"
7,14,105074,"El Salvador","SLV"
7,2,45029,"El Salvador","SLV"
7,3,38855,"El Salvador","SLV"
7,4,44170,"El Salvador","SLV"
7,5,35422,"El Salvador","SLV"
7,6,43435,"El Salvador","SLV"
7,7,4273475,"El Salvador","SLV"
7,8,447700,"El Salvador","SLV"
7,9,374421,"El Salvador","SLV"
8,1,51604,"El Salvador","SLV"
8,10,56386,"El Salvador","SLV"
8,11,63445,"El Salvador","SLV"
8,12,37034,"El Salvador","SLV"
8,13,42409,"El Salvador","SLV"
8,14,116593,"El Salvador","SLV"
8,2,57606,"El Salvador","SLV"
8,3,51172,"El Salvador","SLV"
8,4,50218,"El Salvador","SLV"
8,5,42058,"El Salvador","SLV"
8,6,51041,"El Salvador","SLV"
8,7,447700,"El Salvador","SLV"
8,8,8079933,"El Salvador","SLV"
8,9,643995,"El Salvador","SLV"
9,1,46783,"El Salvador","SLV"
9,10,55113,"El Salvador","SLV"
9,11,72089,"El Salvador","SLV"
9,12,39294,"El Salvador","SLV"
9,13,45302,"El Salvador","SLV"
9,14,344557,"El Salvador","SLV"
9,2,66351,"El Salvador","SLV"
9,3,46200,"El Salvador","SLV"
9,4,53458,"El Salvador","SLV"
9,5,49307,"El Salvador","SLV"
9,6,54159,"El Salvador","SLV"
9,7,374421,"El Salvador","SLV"
9,8,643995,"El Salvador","SLV"
9,9,2220248,"El Salvador","SLV"
