"nodeCode","nodeID","name","longitude","latitude"
"SI031",1,"Pomurska",16.1892123318472,46.6593019287729
"SI032",2,"Podravska",15.7865736012994,46.4886014708811
"SI033",3,"Koroška",15.098527509362,46.5504740794905
"SI034",4,"Savinjska",15.2105613655413,46.2886437839587
"SI035",5,"Zasavska",15.013644329848,46.0841446215448
"SI036",6,"Posavska",15.4070400962461,45.9788524666958
"SI037",7,"Jugovzhodna Slovenija",14.9992717295471,45.7378682948387
"SI038",8,"Primorsko-notranjska",14.2910627906378,45.6778531286123
"SI041",9,"Osrednjeslovenska",14.5546140962001,46.0506695684565
"SI042",10,"Gorenjska",14.1168843071073,46.3152487140431
"SI043",11,"Goriška",13.785264184973,46.0573978852095
"SI044",12,"Obalno-kraška",13.899862832752,45.6118117901351
