"nodeCode","nodeID","name","longitude","latitude"
"SE110",1,"Stockholms län",18.215428567786,59.4420641399804
"SE121",2,"Uppsala län",17.5460884152079,60.0291975940822
"SE122",3,"Södermanlands län",16.7113551464897,59.0611609361516
"SE123",4,"Östergötlands län",15.7041755717484,58.3586989463668
"SE124",5,"Örebro län",14.9689063522917,59.3599432526206
"SE125",6,"Västmanlands län",16.1701207039597,59.7357503353793
"SE211",7,"Jönköpings län",14.4123679638425,57.5172749009584
"SE212",8,"Kronobergs län",14.5657335143923,56.767459820454
"SE213",9,"Kalmar län",16.1108479855377,57.1951248955451
"SE214",10,"Gotlands län",18.5315099921651,57.5117726398486
"SE221",11,"Blekinge län",15.2103927149172,56.2609951648015
"SE224",12,"Skåne län",13.6342685726412,55.9723292695474
"SE231",13,"Hallands län",12.882926800378,56.9344647358654
"SE232",14,"Västra Götalands län",12.8354332314772,58.3082209343156
"SE311",15,"Värmlands län",13.1836597662664,59.8021947210757
"SE312",16,"Dalarnas län",14.3710173573721,60.9682320673095
"SE313",17,"Gävleborgs län",16.3570171764689,61.4325020557662
"SE321",18,"Västernorrlands län",17.23675404353,63.0883753203447
"SE322",19,"Jämtlands län",14.3014154744051,63.2398338532491
"SE331",20,"Västerbottens län",17.8378584016204,64.871494094907
"SE332",21,"Norrbottens län",20.1160895045745,66.9034940001773
