"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,5446384,"Swaziland","SWZ"
1,2,2909368,"Swaziland","SWZ"
1,3,3204322,"Swaziland","SWZ"
1,4,3219159,"Swaziland","SWZ"
2,1,2909368,"Swaziland","SWZ"
2,2,9248178,"Swaziland","SWZ"
2,3,3263430,"Swaziland","SWZ"
2,4,2605301,"Swaziland","SWZ"
3,1,3204322,"Swaziland","SWZ"
3,2,3263430,"Swaziland","SWZ"
3,3,3900971,"Swaziland","SWZ"
3,4,3445342,"Swaziland","SWZ"
4,1,3219159,"Swaziland","SWZ"
4,2,2605301,"Swaziland","SWZ"
4,3,3445342,"Swaziland","SWZ"
4,4,14622989,"Swaziland","SWZ"
