"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,9032564,"Togo","TGO"
1,2,1411481,"Togo","TGO"
1,3,503857,"Togo","TGO"
1,4,512572,"Togo","TGO"
1,5,486490,"Togo","TGO"
2,1,1411481,"Togo","TGO"
2,2,7925818,"Togo","TGO"
2,3,668853,"Togo","TGO"
2,4,772746,"Togo","TGO"
2,5,1373015,"Togo","TGO"
3,1,503857,"Togo","TGO"
3,2,668853,"Togo","TGO"
3,3,749019,"Togo","TGO"
3,4,782691,"Togo","TGO"
3,5,518038,"Togo","TGO"
4,1,512572,"Togo","TGO"
4,2,772746,"Togo","TGO"
4,3,782691,"Togo","TGO"
4,4,5572404,"Togo","TGO"
4,5,407145,"Togo","TGO"
5,1,486490,"Togo","TGO"
5,2,1373015,"Togo","TGO"
5,3,518038,"Togo","TGO"
5,4,407145,"Togo","TGO"
5,5,12055111,"Togo","TGO"
