"nodeCode","nodeID","name","longitude","latitude"
"TLS1",1,"Aileu",125.635960409391,-8.70143195326214
"TLS2",2,"Ainaro",125.573326949284,-9.0018413681163
"TLS4",4,"Baucau",126.469811108716,-8.56456802929738
"TLS7",7,"Dili",125.630183917433,-8.42894112889248
"TLS8",8,"Ermera",125.387734293891,-8.81259037166351
"TLS9",9,"Lautém",126.968386674033,-8.51454664636953
"TLS10",10,"Liquiçá",125.296047742398,-8.65246074281929
"TLS11",11,"Manatuto",125.976531331155,-8.71311247271873
"TLS12",12,"Manufahi",125.799982286197,-8.99179059520036
"TLS13",13,"Viqueque",126.359267943366,-8.80065912750214
