"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,6698446,"Trinidad and Tobago","TTO"
1,10,752975,"Trinidad and Tobago","TTO"
1,11,1725350,"Trinidad and Tobago","TTO"
1,12,2815993,"Trinidad and Tobago","TTO"
1,13,655548,"Trinidad and Tobago","TTO"
1,14,984712,"Trinidad and Tobago","TTO"
1,15,2856526,"Trinidad and Tobago","TTO"
1,2,1110231,"Trinidad and Tobago","TTO"
1,3,823295,"Trinidad and Tobago","TTO"
1,4,1292006,"Trinidad and Tobago","TTO"
1,5,996761,"Trinidad and Tobago","TTO"
1,6,420751,"Trinidad and Tobago","TTO"
1,7,928976,"Trinidad and Tobago","TTO"
1,8,2086589,"Trinidad and Tobago","TTO"
1,9,660248,"Trinidad and Tobago","TTO"
10,1,752975,"Trinidad and Tobago","TTO"
10,10,6027106,"Trinidad and Tobago","TTO"
10,11,788447,"Trinidad and Tobago","TTO"
10,12,678550,"Trinidad and Tobago","TTO"
10,13,2616622,"Trinidad and Tobago","TTO"
10,14,624036,"Trinidad and Tobago","TTO"
10,15,818995,"Trinidad and Tobago","TTO"
10,2,1026664,"Trinidad and Tobago","TTO"
10,3,1603651,"Trinidad and Tobago","TTO"
10,4,632239,"Trinidad and Tobago","TTO"
10,5,1473647,"Trinidad and Tobago","TTO"
10,6,2399237,"Trinidad and Tobago","TTO"
10,7,2616562,"Trinidad and Tobago","TTO"
10,8,928940,"Trinidad and Tobago","TTO"
10,9,3116242,"Trinidad and Tobago","TTO"
11,1,1725350,"Trinidad and Tobago","TTO"
11,10,788447,"Trinidad and Tobago","TTO"
11,11,3057062,"Trinidad and Tobago","TTO"
11,12,1146377,"Trinidad and Tobago","TTO"
11,13,663251,"Trinidad and Tobago","TTO"
11,14,1033802,"Trinidad and Tobago","TTO"
11,15,1721879,"Trinidad and Tobago","TTO"
11,2,1226249,"Trinidad and Tobago","TTO"
11,3,763832,"Trinidad and Tobago","TTO"
11,4,1947513,"Trinidad and Tobago","TTO"
11,5,767798,"Trinidad and Tobago","TTO"
11,6,490982,"Trinidad and Tobago","TTO"
11,7,899436,"Trinidad and Tobago","TTO"
11,8,2912762,"Trinidad and Tobago","TTO"
11,9,668336,"Trinidad and Tobago","TTO"
12,1,2815993,"Trinidad and Tobago","TTO"
12,10,678550,"Trinidad and Tobago","TTO"
12,11,1146377,"Trinidad and Tobago","TTO"
12,12,10349310,"Trinidad and Tobago","TTO"
12,13,670314,"Trinidad and Tobago","TTO"
12,14,808464,"Trinidad and Tobago","TTO"
12,15,1640552,"Trinidad and Tobago","TTO"
12,2,908271,"Trinidad and Tobago","TTO"
12,3,731717,"Trinidad and Tobago","TTO"
12,4,795004,"Trinidad and Tobago","TTO"
12,5,2311898,"Trinidad and Tobago","TTO"
12,6,506058,"Trinidad and Tobago","TTO"
12,7,842322,"Trinidad and Tobago","TTO"
12,8,1422687,"Trinidad and Tobago","TTO"
12,9,736120,"Trinidad and Tobago","TTO"
13,1,655548,"Trinidad and Tobago","TTO"
13,10,2616622,"Trinidad and Tobago","TTO"
13,11,663251,"Trinidad and Tobago","TTO"
13,12,670314,"Trinidad and Tobago","TTO"
13,13,9105058,"Trinidad and Tobago","TTO"
13,14,585134,"Trinidad and Tobago","TTO"
13,15,695162,"Trinidad and Tobago","TTO"
13,2,850945,"Trinidad and Tobago","TTO"
13,3,997421,"Trinidad and Tobago","TTO"
13,4,474427,"Trinidad and Tobago","TTO"
13,5,1150115,"Trinidad and Tobago","TTO"
13,6,2775787,"Trinidad and Tobago","TTO"
13,7,6055426,"Trinidad and Tobago","TTO"
13,8,756101,"Trinidad and Tobago","TTO"
13,9,1808076,"Trinidad and Tobago","TTO"
14,1,984712,"Trinidad and Tobago","TTO"
14,10,624036,"Trinidad and Tobago","TTO"
14,11,1033802,"Trinidad and Tobago","TTO"
14,12,808464,"Trinidad and Tobago","TTO"
14,13,585134,"Trinidad and Tobago","TTO"
14,14,31999173,"Trinidad and Tobago","TTO"
14,15,881159,"Trinidad and Tobago","TTO"
14,2,552738,"Trinidad and Tobago","TTO"
14,3,423231,"Trinidad and Tobago","TTO"
14,4,858954,"Trinidad and Tobago","TTO"
14,5,576161,"Trinidad and Tobago","TTO"
14,6,285574,"Trinidad and Tobago","TTO"
14,7,1064570,"Trinidad and Tobago","TTO"
14,8,1651020,"Trinidad and Tobago","TTO"
14,9,559610,"Trinidad and Tobago","TTO"
15,1,2856526,"Trinidad and Tobago","TTO"
15,10,818995,"Trinidad and Tobago","TTO"
15,11,1721879,"Trinidad and Tobago","TTO"
15,12,1640552,"Trinidad and Tobago","TTO"
15,13,695162,"Trinidad and Tobago","TTO"
15,14,881159,"Trinidad and Tobago","TTO"
15,15,2893629,"Trinidad and Tobago","TTO"
15,2,1336859,"Trinidad and Tobago","TTO"
15,3,917657,"Trinidad and Tobago","TTO"
15,4,1215718,"Trinidad and Tobago","TTO"
15,5,874973,"Trinidad and Tobago","TTO"
15,6,606141,"Trinidad and Tobago","TTO"
15,7,794359,"Trinidad and Tobago","TTO"
15,8,1854243,"Trinidad and Tobago","TTO"
15,9,731335,"Trinidad and Tobago","TTO"
2,1,1110231,"Trinidad and Tobago","TTO"
2,10,1026664,"Trinidad and Tobago","TTO"
2,11,1226249,"Trinidad and Tobago","TTO"
2,12,908271,"Trinidad and Tobago","TTO"
2,13,850945,"Trinidad and Tobago","TTO"
2,14,552738,"Trinidad and Tobago","TTO"
2,15,1336859,"Trinidad and Tobago","TTO"
2,2,2960270,"Trinidad and Tobago","TTO"
2,3,1619957,"Trinidad and Tobago","TTO"
2,4,766949,"Trinidad and Tobago","TTO"
2,5,1033851,"Trinidad and Tobago","TTO"
2,6,909339,"Trinidad and Tobago","TTO"
2,7,778941,"Trinidad and Tobago","TTO"
2,8,1123008,"Trinidad and Tobago","TTO"
2,9,998025,"Trinidad and Tobago","TTO"
3,1,823295,"Trinidad and Tobago","TTO"
3,10,1603651,"Trinidad and Tobago","TTO"
3,11,763832,"Trinidad and Tobago","TTO"
3,12,731717,"Trinidad and Tobago","TTO"
3,13,997421,"Trinidad and Tobago","TTO"
3,14,423231,"Trinidad and Tobago","TTO"
3,15,917657,"Trinidad and Tobago","TTO"
3,2,1619957,"Trinidad and Tobago","TTO"
3,3,2303540,"Trinidad and Tobago","TTO"
3,4,493877,"Trinidad and Tobago","TTO"
