"nodeCode","nodeID","name","longitude","latitude"
"TTO1",1,"Arima",-61.2798587039517,10.6276271570226
"TTO2",2,"Chaguanas",-61.4105066682,10.5361056477654
"TTO3",3,"Couva-Tabaquite-Talparo",-61.3362616663915,10.439267049139
"TTO4",4,"Diego Martin",-61.5860753076287,10.7105533136996
"TTO5",5,"Mayaro/Rio Claro",-61.1060116206107,10.2783499089658
"TTO6",6,"Penal-Debe",-61.4386988026259,10.1611401738366
"TTO7",7,"Point Fortin",-61.6710660616072,10.1747396814848
"TTO8",8,"Port of Spain",-61.5167793151961,10.6623012514112
"TTO9",9,"Princes Town",-61.2959910889859,10.2028363792187
"TTO10",10,"San Fernando",-61.4552091020866,10.2819966072974
"TTO11",11,"San Juan-Laventille",-61.445247828503,10.6853667434522
"TTO12",12,"Sangre Grande",-61.0995912346629,10.6473208492408
"TTO13",13,"Siparia",-61.6408390517916,10.1362059971956
"TTO14",14,"Tobago",-60.6650729671036,11.2420411955281
"TTO15",15,"Tunapuna/Piarco",-61.3080433993032,10.687662955097
