"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,9518212,"Taiwan","TWN"
1,2,31378,"Taiwan","TWN"
1,3,37567,"Taiwan","TWN"
1,4,28783,"Taiwan","TWN"
1,5,27702,"Taiwan","TWN"
1,6,37951,"Taiwan","TWN"
1,7,28313,"Taiwan","TWN"
2,1,31378,"Taiwan","TWN"
2,2,135143,"Taiwan","TWN"
2,3,19937,"Taiwan","TWN"
2,4,24499,"Taiwan","TWN"
2,5,39717,"Taiwan","TWN"
2,6,23625,"Taiwan","TWN"
2,7,35008,"Taiwan","TWN"
3,1,37567,"Taiwan","TWN"
3,2,19937,"Taiwan","TWN"
3,3,83193,"Taiwan","TWN"
3,4,20956,"Taiwan","TWN"
3,5,18154,"Taiwan","TWN"
3,6,51629,"Taiwan","TWN"
3,7,24711,"Taiwan","TWN"
4,1,28783,"Taiwan","TWN"
4,2,24499,"Taiwan","TWN"
4,3,20956,"Taiwan","TWN"
4,4,147041,"Taiwan","TWN"
4,5,25238,"Taiwan","TWN"
4,6,23951,"Taiwan","TWN"
4,7,37494,"Taiwan","TWN"
5,1,27702,"Taiwan","TWN"
5,2,39717,"Taiwan","TWN"
5,3,18154,"Taiwan","TWN"
5,4,25238,"Taiwan","TWN"
5,5,235155,"Taiwan","TWN"
5,6,20432,"Taiwan","TWN"
5,7,28506,"Taiwan","TWN"
6,1,37951,"Taiwan","TWN"
6,2,23625,"Taiwan","TWN"
6,3,51629,"Taiwan","TWN"
6,4,23951,"Taiwan","TWN"
6,5,20432,"Taiwan","TWN"
6,6,87252,"Taiwan","TWN"
6,7,26367,"Taiwan","TWN"
7,1,28313,"Taiwan","TWN"
7,2,35008,"Taiwan","TWN"
7,3,24711,"Taiwan","TWN"
7,4,37494,"Taiwan","TWN"
7,5,28506,"Taiwan","TWN"
7,6,26367,"Taiwan","TWN"
7,7,105985,"Taiwan","TWN"
