"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,1078910,"Ukraine","UKR"
1,10,9815,"Ukraine","UKR"
1,11,26303,"Ukraine","UKR"
1,12,30212,"Ukraine","UKR"
1,13,34912,"Ukraine","UKR"
1,14,8636,"Ukraine","UKR"
1,16,10494,"Ukraine","UKR"
1,17,10795,"Ukraine","UKR"
1,18,15064,"Ukraine","UKR"
1,19,8793,"Ukraine","UKR"
1,2,11106,"Ukraine","UKR"
1,21,7816,"Ukraine","UKR"
1,22,7386,"Ukraine","UKR"
1,23,8188,"Ukraine","UKR"
1,24,18423,"Ukraine","UKR"
1,25,7781,"Ukraine","UKR"
1,26,6438,"Ukraine","UKR"
1,27,10483,"Ukraine","UKR"
1,3,6190,"Ukraine","UKR"
1,5,8646,"Ukraine","UKR"
1,7,8219,"Ukraine","UKR"
1,8,7219,"Ukraine","UKR"
1,9,8263,"Ukraine","UKR"
10,1,9815,"Ukraine","UKR"
10,10,1224615,"Ukraine","UKR"
10,11,17853,"Ukraine","UKR"
10,12,17969,"Ukraine","UKR"
10,13,8668,"Ukraine","UKR"
10,14,16344,"Ukraine","UKR"
10,16,8788,"Ukraine","UKR"
10,17,9489,"Ukraine","UKR"
10,18,8305,"Ukraine","UKR"
10,19,31343,"Ukraine","UKR"
10,2,9006,"Ukraine","UKR"
10,21,7009,"Ukraine","UKR"
10,22,48147,"Ukraine","UKR"
10,23,11577,"Ukraine","UKR"
10,24,27630,"Ukraine","UKR"
10,25,13609,"Ukraine","UKR"
10,26,6111,"Ukraine","UKR"
10,27,21531,"Ukraine","UKR"
10,3,26003,"Ukraine","UKR"
10,5,7001,"Ukraine","UKR"
10,7,16460,"Ukraine","UKR"
10,8,6361,"Ukraine","UKR"
10,9,8977,"Ukraine","UKR"
11,1,26303,"Ukraine","UKR"
11,10,17853,"Ukraine","UKR"
11,11,134286,"Ukraine","UKR"
11,12,80573,"Ukraine","UKR"
11,13,17420,"Ukraine","UKR"
11,14,15142,"Ukraine","UKR"
11,16,13175,"Ukraine","UKR"
11,17,15721,"Ukraine","UKR"
11,18,17202,"Ukraine","UKR"
11,19,16176,"Ukraine","UKR"
11,2,32405,"Ukraine","UKR"
11,21,19261,"Ukraine","UKR"
11,22,11857,"Ukraine","UKR"
11,23,10526,"Ukraine","UKR"
11,24,22595,"Ukraine","UKR"
11,25,14025,"Ukraine","UKR"
11,26,12308,"Ukraine","UKR"
11,27,28792,"Ukraine","UKR"
11,3,10755,"Ukraine","UKR"
11,5,14646,"Ukraine","UKR"
11,7,12642,"Ukraine","UKR"
11,8,14948,"Ukraine","UKR"
11,9,13526,"Ukraine","UKR"
12,1,30212,"Ukraine","UKR"
12,10,17969,"Ukraine","UKR"
12,11,80573,"Ukraine","UKR"
12,12,446096,"Ukraine","UKR"
12,13,16151,"Ukraine","UKR"
12,14,12033,"Ukraine","UKR"
12,16,11038,"Ukraine","UKR"
12,17,11187,"Ukraine","UKR"
12,18,15248,"Ukraine","UKR"
12,19,19607,"Ukraine","UKR"
12,2,31896,"Ukraine","UKR"
12,21,16640,"Ukraine","UKR"
12,22,11531,"Ukraine","UKR"
12,23,10792,"Ukraine","UKR"
12,24,23791,"Ukraine","UKR"
12,25,13949,"Ukraine","UKR"
12,26,9252,"Ukraine","UKR"
12,27,32445,"Ukraine","UKR"
12,3,9270,"Ukraine","UKR"
12,5,10525,"Ukraine","UKR"
12,7,11886,"Ukraine","UKR"
12,8,10002,"Ukraine","UKR"
12,9,10975,"Ukraine","UKR"
13,1,34912,"Ukraine","UKR"
13,10,8668,"Ukraine","UKR"
13,11,17420,"Ukraine","UKR"
13,12,16151,"Ukraine","UKR"
13,13,1406886,"Ukraine","UKR"
13,14,8035,"Ukraine","UKR"
13,16,27726,"Ukraine","UKR"
13,17,16655,"Ukraine","UKR"
13,18,24956,"Ukraine","UKR"
13,19,8244,"Ukraine","UKR"
13,2,9731,"Ukraine","UKR"
13,21,7257,"Ukraine","UKR"
13,22,7102,"Ukraine","UKR"
13,23,8107,"Ukraine","UKR"
13,24,13616,"Ukraine","UKR"
13,25,7370,"Ukraine","UKR"
13,26,7840,"Ukraine","UKR"
13,27,9480,"Ukraine","UKR"
13,3,6639,"Ukraine","UKR"
13,5,22255,"Ukraine","UKR"
13,7,7966,"Ukraine","UKR"
13,8,8041,"Ukraine","UKR"
13,9,11009,"Ukraine","UKR"
14,1,8636,"Ukraine","UKR"
14,10,16344,"Ukraine","UKR"
14,11,15142,"Ukraine","UKR"
14,12,12033,"Ukraine","UKR"
14,13,8035,"Ukraine","UKR"
14,14,634814,"Ukraine","UKR"
14,16,7151,"Ukraine","UKR"
14,17,7330,"Ukraine","UKR"
14,18,8197,"Ukraine","UKR"
14,19,21635,"Ukraine","UKR"
14,2,7392,"Ukraine","UKR"
14,21,6378,"Ukraine","UKR"
14,22,34329,"Ukraine","UKR"
14,23,22071,"Ukraine","UKR"
14,24,11457,"Ukraine","UKR"
14,25,29726,"Ukraine","UKR"
14,26,5928,"Ukraine","UKR"
14,27,10374,"Ukraine","UKR"
14,3,12317,"Ukraine","UKR"
14,5,7031,"Ukraine","UKR"
14,7,38430,"Ukraine","UKR"
14,8,6555,"Ukraine","UKR"
14,9,7481,"Ukraine","UKR"
16,1,10494,"Ukraine","UKR"
16,10,8788,"Ukraine","UKR"
16,11,13175,"Ukraine","UKR"
16,12,11038,"Ukraine","UKR"
16,13,27726,"Ukraine","UKR"
16,14,7151,"Ukraine","UKR"
16,16,924374,"Ukraine","UKR"
16,17,28845,"Ukraine","UKR"
16,18,8723,"Ukraine","UKR"
16,19,7501,"Ukraine","UKR"
16,2,7474,"Ukraine","UKR"
16,21,6435,"Ukraine","UKR"
16,22,6647,"Ukraine","UKR"
16,23,6241,"Ukraine","UKR"
16,24,10362,"Ukraine","UKR"
16,25,6370,"Ukraine","UKR"
16,26,7635,"Ukraine","UKR"
16,27,8348,"Ukraine","UKR"
16,3,5845,"Ukraine","UKR"
16,5,10874,"Ukraine","UKR"
16,7,6712,"Ukraine","UKR"
16,8,7408,"Ukraine","UKR"
16,9,29020,"Ukraine","UKR"
17,1,10795,"Ukraine","UKR"
17,10,9489,"Ukraine","UKR"
17,11,15721,"Ukraine","UKR"
17,12,11187,"Ukraine","UKR"
17,13,16655,"Ukraine","UKR"
17,14,7330,"Ukraine","UKR"
17,16,28845,"Ukraine","UKR"
17,17,345629,"Ukraine","UKR"
17,18,8118,"Ukraine","UKR"
17,19,7169,"Ukraine","UKR"
17,2,7482,"Ukraine","UKR"
17,21,6842,"Ukraine","UKR"
17,22,6238,"Ukraine","UKR"
17,23,7009,"Ukraine","UKR"
17,24,17183,"Ukraine","UKR"
17,25,7124,"Ukraine","UKR"
17,26,7741,"Ukraine","UKR"
17,27,8354,"Ukraine","UKR"
17,3,7598,"Ukraine","UKR"
17,5,9178,"Ukraine","UKR"
17,7,7461,"Ukraine","UKR"
17,8,8727,"Ukraine","UKR"
17,9,14317,"Ukraine","UKR"
18,1,15064,"Ukraine","UKR"
18,10,8305,"Ukraine","UKR"
18,11,17202,"Ukraine","UKR"
18,12,15248,"Ukraine","UKR"
18,13,24956,"Ukraine","UKR"
18,14,8197,"Ukraine","UKR"
18,16,8723,"Ukraine","UKR"
18,17,8118,"Ukraine","UKR"
18,18,869809,"Ukraine","UKR"
18,19,9234,"Ukraine","UKR"
18,2,13575,"Ukraine","UKR"
18,21,19033,"Ukraine","UKR"
18,22,6260,"Ukraine","UKR"
18,23,9893,"Ukraine","UKR"
18,24,9706,"Ukraine","UKR"
18,25,7539,"Ukraine","UKR"
18,26,7594,"Ukraine","UKR"
18,27,9522,"Ukraine","UKR"
18,3,5429,"Ukraine","UKR"
18,5,11693,"Ukraine","UKR"
18,7,7870,"Ukraine","UKR"
18,8,17023,"Ukraine","UKR"
18,9,7940,"Ukraine","UKR"
19,1,8793,"Ukraine","UKR"
19,10,31343,"Ukraine","UKR"
19,11,16176,"Ukraine","UKR"
19,12,19607,"Ukraine","UKR"
19,13,8244,"Ukraine","UKR"
19,14,21635,"Ukraine","UKR"
19,16,7501,"Ukraine","UKR"
19,17,7169,"Ukraine","UKR"
19,18,9234,"Ukraine","UKR"
19,19,1397952,"Ukraine","UKR"
19,2,8560,"Ukraine","UKR"
19,21,6554,"Ukraine","UKR"
19,22,29591,"Ukraine","UKR"
19,23,11558,"Ukraine","UKR"
19,24,10431,"Ukraine","UKR"
19,25,69825,"Ukraine","UKR"
19,26,5196,"Ukraine","UKR"
19,27,19468,"Ukraine","UKR"
19,3,9351,"Ukraine","UKR"
19,5,6139,"Ukraine","UKR"
19,7,13541,"Ukraine","UKR"
19,8,6259,"Ukraine","UKR"
19,9,7531,"Ukraine","UKR"
2,1,11106,"Ukraine","UKR"
2,10,9006,"Ukraine","UKR"
2,11,32405,"Ukraine","UKR"
2,12,31896,"Ukraine","UKR"
2,13,9731,"Ukraine","UKR"
2,14,7392,"Ukraine","UKR"
2,16,7474,"Ukraine","UKR"
2,17,7482,"Ukraine","UKR"
2,18,13575,"Ukraine","UKR"
2,19,8560,"Ukraine","UKR"
2,2,1256151,"Ukraine","UKR"
2,21,24492,"Ukraine","UKR"
2,22,6231,"Ukraine","UKR"
2,23,7902,"Ukraine","UKR"
2,24,10417,"Ukraine","UKR"
2,25,7645,"Ukraine","UKR"
2,26,6052,"Ukraine","UKR"
2,27,12059,"Ukraine","UKR"
2,3,5544,"Ukraine","UKR"
2,5,7113,"Ukraine","UKR"
2,7,7258,"Ukraine","UKR"
2,8,8310,"Ukraine","UKR"
2,9,7819,"Ukraine","UKR"
21,1,7816,"Ukraine","UKR"
21,10,7009,"Ukraine","UKR"
21,11,19261,"Ukraine","UKR"
21,12,16640,"Ukraine","UKR"
21,13,7257,"Ukraine","UKR"
21,14,6378,"Ukraine","UKR"
21,16,6435,"Ukraine","UKR"
21,17,6842,"Ukraine","UKR"
21,18,19033,"Ukraine","UKR"
21,19,6554,"Ukraine","UKR"
21,2,24492,"Ukraine","UKR"
21,21,1275642,"Ukraine","UKR"
21,22,5439,"Ukraine","UKR"
21,23,7037,"Ukraine","UKR"
21,24,6993,"Ukraine","UKR"
21,25,6159,"Ukraine","UKR"
21,26,6285,"Ukraine","UKR"
21,27,7813,"Ukraine","UKR"
21,3,4864,"Ukraine","UKR"
21,5,7111,"Ukraine","UKR"
21,7,6276,"Ukraine","UKR"
21,8,16376,"Ukraine","UKR"
21,9,6530,"Ukraine","UKR"
22,1,7386,"Ukraine","UKR"
22,10,48147,"Ukraine","UKR"
22,11,11857,"Ukraine","UKR"
22,12,11531,"Ukraine","UKR"
22,13,7102,"Ukraine","UKR"
22,14,34329,"Ukraine","UKR"
22,16,6647,"Ukraine","UKR"
22,17,6238,"Ukraine","UKR"
22,18,6260,"Ukraine","UKR"
22,19,29591,"Ukraine","UKR"
22,2,6231,"Ukraine","UKR"
22,21,5439,"Ukraine","UKR"
22,22,1694865,"Ukraine","UKR"
22,23,12014,"Ukraine","UKR"
22,24,10736,"Ukraine","UKR"
22,25,18046,"Ukraine","UKR"
22,26,4743,"Ukraine","UKR"
22,27,9037,"Ukraine","UKR"
22,3,42814,"Ukraine","UKR"
22,5,5436,"Ukraine","UKR"
22,7,44113,"Ukraine","UKR"
22,8,4566,"Ukraine","UKR"
22,9,6901,"Ukraine","UKR"
23,1,8188,"Ukraine","UKR"
23,10,11577,"Ukraine","UKR"
23,11,10526,"Ukraine","UKR"
23,12,10792,"Ukraine","UKR"
23,13,8107,"Ukraine","UKR"
23,14,22071,"Ukraine","UKR"
23,16,6241,"Ukraine","UKR"
23,17,7009,"Ukraine","UKR"
23,18,9893,"Ukraine","UKR"
23,19,11558,"Ukraine","UKR"
23,2,7902,"Ukraine","UKR"
23,21,7037,"Ukraine","UKR"
23,22,12014,"Ukraine","UKR"
23,23,1631407,"Ukraine","UKR"
23,24,9824,"Ukraine","UKR"
23,25,11207,"Ukraine","UKR"
23,26,4917,"Ukraine","UKR"
23,27,8980,"Ukraine","UKR"
23,3,11811,"Ukraine","UKR"
23,5,6040,"Ukraine","UKR"
23,7,22302,"Ukraine","UKR"
23,8,5735,"Ukraine","UKR"
23,9,6565,"Ukraine","UKR"
24,1,18423,"Ukraine","UKR"
24,10,27630,"Ukraine","UKR"
24,11,22595,"Ukraine","UKR"
24,12,23791,"Ukraine","UKR"
24,13,13616,"Ukraine","UKR"
24,14,11457,"Ukraine","UKR"
24,16,10362,"Ukraine","UKR"
24,17,17183,"Ukraine","UKR"
24,18,9706,"Ukraine","UKR"
24,19,10431,"Ukraine","UKR"
24,2,10417,"Ukraine","UKR"
24,21,6993,"Ukraine","UKR"
24,22,10736,"Ukraine","UKR"
24,23,9824,"Ukraine","UKR"
24,24,1028208,"Ukraine","UKR"
24,25,9671,"Ukraine","UKR"
24,26,6277,"Ukraine","UKR"
24,27,25413,"Ukraine","UKR"
24,3,14096,"Ukraine","UKR"
24,5,7663,"Ukraine","UKR"
24,7,10811,"Ukraine","UKR"
24,8,6864,"Ukraine","UKR"
24,9,9391,"Ukraine","UKR"
25,1,7781,"Ukraine","UKR"
25,10,13609,"Ukraine","UKR"
25,11,14025,"Ukraine","UKR"
25,12,13949,"Ukraine","UKR"
25,13,7370,"Ukraine","UKR"
25,14,29726,"Ukraine","UKR"
25,16,6370,"Ukraine","UKR"
25,17,7124,"Ukraine","UKR"
25,18,7539,"Ukraine","UKR"
25,19,69825,"Ukraine","UKR"
25,2,7645,"Ukraine","UKR"
25,21,6159,"Ukraine","UKR"
25,22,18046,"Ukraine","UKR"
25,23,11207,"Ukraine","UKR"
25,24,9671,"Ukraine","UKR"
25,25,1639954,"Ukraine","UKR"
25,26,5077,"Ukraine","UKR"
25,27,11598,"Ukraine","UKR"
25,3,9552,"Ukraine","UKR"
25,5,6377,"Ukraine","UKR"
25,7,14420,"Ukraine","UKR"
25,8,5745,"Ukraine","UKR"
25,9,6726,"Ukraine","UKR"
26,1,6438,"Ukraine","UKR"
26,10,6111,"Ukraine","UKR"
26,11,12308,"Ukraine","UKR"
26,12,9252,"Ukraine","UKR"
26,13,7840,"Ukraine","UKR"
26,14,5928,"Ukraine","UKR"
26,16,7635,"Ukraine","UKR"
26,17,7741,"Ukraine","UKR"
26,18,7594,"Ukraine","UKR"
26,19,5196,"Ukraine","UKR"
26,2,6052,"Ukraine","UKR"
26,21,6285,"Ukraine","UKR"
26,22,4743,"Ukraine","UKR"
26,23,4917,"Ukraine","UKR"
26,24,6277,"Ukraine","UKR"
26,25,5077,"Ukraine","UKR"
26,26,534054,"Ukraine","UKR"
26,27,5943,"Ukraine","UKR"
26,3,4330,"Ukraine","UKR"
26,5,17097,"Ukraine","UKR"
26,7,5474,"Ukraine","UKR"
26,8,8784,"Ukraine","UKR"
26,9,15898,"Ukraine","UKR"
27,1,10483,"Ukraine","UKR"
27,10,21531,"Ukraine","UKR"
27,11,28792,"Ukraine","UKR"
27,12,32445,"Ukraine","UKR"
27,13,9480,"Ukraine","UKR"
27,14,10374,"Ukraine","UKR"
27,16,8348,"Ukraine","UKR"
27,17,8354,"Ukraine","UKR"
27,18,9522,"Ukraine","UKR"
27,19,19468,"Ukraine","UKR"
27,2,12059,"Ukraine","UKR"
27,21,7813,"Ukraine","UKR"
27,22,9037,"Ukraine","UKR"
27,23,8980,"Ukraine","UKR"
27,24,25413,"Ukraine","UKR"
27,25,11598,"Ukraine","UKR"
27,26,5943,"Ukraine","UKR"
27,27,1094609,"Ukraine","UKR"
27,3,7587,"Ukraine","UKR"
27,5,6799,"Ukraine","UKR"
27,7,9337,"Ukraine","UKR"
27,8,6767,"Ukraine","UKR"
27,9,8089,"Ukraine","UKR"
3,1,6190,"Ukraine","UKR"
3,10,26003,"Ukraine","UKR"
3,11,10755,"Ukraine","UKR"
3,12,9270,"Ukraine","UKR"
3,13,6639,"Ukraine","UKR"
3,14,12317,"Ukraine","UKR"
3,16,5845,"Ukraine","UKR"
3,17,7598,"Ukraine","UKR"
3,18,5429,"Ukraine","UKR"
3,19,9351,"Ukraine","UKR"
3,2,5544,"Ukraine","UKR"
3,21,4864,"Ukraine","UKR"
3,22,42814,"Ukraine","UKR"
3,23,11811,"Ukraine","UKR"
3,24,14096,"Ukraine","UKR"
3,25,9552,"Ukraine","UKR"
3,26,4330,"Ukraine","UKR"
3,27,7587,"Ukraine","UKR"
3,3,1743950,"Ukraine","UKR"
3,5,4946,"Ukraine","UKR"
3,7,56712,"Ukraine","UKR"
3,8,4706,"Ukraine","UKR"
3,9,5996,"Ukraine","UKR"
5,1,8646,"Ukraine","UKR"
5,10,7001,"Ukraine","UKR"
5,11,14646,"Ukraine","UKR"
