"nodeCode","nodeID","name","longitude","latitude"
"URY1",1,"Artigas",-56.9509008296758,-30.5467940883362
"URY2",2,"Canelones",-55.958691404971,-34.5191627473182
"URY3",3,"Cerro Largo",-54.3749164732777,-32.4024120623955
"URY4",4,"Colonia",-57.6785388685413,-34.1121938863242
"URY5",5,"Durazno",-56.1079015038299,-32.9353402986778
"URY6",6,"Flores",-56.935980175466,-33.5098254039913
"URY7",7,"Florida",-55.901942457134,-33.7032774269
"URY8",8,"Lavalleja",-55.008688500173,-33.8680570064515
"URY9",9,"Maldonado",-54.8618689945666,-34.5469915779028
"URY10",10,"Montevideo",-56.2267301325074,-34.8258179420516
"URY11",11,"Paysandú",-57.3794699329565,-32.0325231762527
"URY12",12,"Río Negro",-57.4663686068744,-32.7172567761741
"URY13",13,"Rivera",-55.0344098014365,-31.6474947983016
"URY14",14,"Rocha",-54.0229584585275,-33.9432173637681
"URY15",15,"Salto",-57.0494757427778,-31.2371826315212
"URY16",16,"San José",-56.7456696701703,-34.2739589584389
"URY17",17,"Soriano",-57.7643255855556,-33.4778612515115
"URY18",18,"Tacuarembó",-55.8070052366752,-32.0393762541466
"URY19",19,"Treinta y Tres",-54.304915422929,-33.0013961165721
