"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,411594,"South Africa","ZAF"
1,2,16844,"South Africa","ZAF"
1,3,16567,"South Africa","ZAF"
1,4,26040,"South Africa","ZAF"
1,5,8882,"South Africa","ZAF"
1,6,13172,"South Africa","ZAF"
1,7,12682,"South Africa","ZAF"
1,8,18902,"South Africa","ZAF"
1,9,58645,"South Africa","ZAF"
2,1,16844,"South Africa","ZAF"
2,2,675394,"South Africa","ZAF"
2,3,31188,"South Africa","ZAF"
2,4,15606,"South Africa","ZAF"
2,5,16299,"South Africa","ZAF"
2,6,23257,"South Africa","ZAF"
2,7,41120,"South Africa","ZAF"
2,8,46366,"South Africa","ZAF"
2,9,11301,"South Africa","ZAF"
3,1,16567,"South Africa","ZAF"
3,2,31188,"South Africa","ZAF"
3,3,94224,"South Africa","ZAF"
3,4,20200,"South Africa","ZAF"
3,5,60523,"South Africa","ZAF"
3,6,43192,"South Africa","ZAF"
3,7,45022,"South Africa","ZAF"
3,8,22506,"South Africa","ZAF"
3,9,12393,"South Africa","ZAF"
4,1,26040,"South Africa","ZAF"
4,2,15606,"South Africa","ZAF"
4,3,20200,"South Africa","ZAF"
4,4,224253,"South Africa","ZAF"
4,5,9748,"South Africa","ZAF"
4,6,22597,"South Africa","ZAF"
4,7,10011,"South Africa","ZAF"
4,8,8573,"South Africa","ZAF"
4,9,8446,"South Africa","ZAF"
5,1,8882,"South Africa","ZAF"
5,2,16299,"South Africa","ZAF"
5,3,60523,"South Africa","ZAF"
5,4,9748,"South Africa","ZAF"
5,5,544463,"South Africa","ZAF"
5,6,46192,"South Africa","ZAF"
5,7,30420,"South Africa","ZAF"
5,8,14682,"South Africa","ZAF"
5,9,5929,"South Africa","ZAF"
6,1,13172,"South Africa","ZAF"
6,2,23257,"South Africa","ZAF"
6,3,43192,"South Africa","ZAF"
6,4,22597,"South Africa","ZAF"
6,5,46192,"South Africa","ZAF"
6,6,637301,"South Africa","ZAF"
6,7,23195,"South Africa","ZAF"
6,8,14996,"South Africa","ZAF"
6,9,8101,"South Africa","ZAF"
7,1,12682,"South Africa","ZAF"
7,2,41120,"South Africa","ZAF"
7,3,45022,"South Africa","ZAF"
7,4,10011,"South Africa","ZAF"
7,5,30420,"South Africa","ZAF"
7,6,23195,"South Africa","ZAF"
7,7,673625,"South Africa","ZAF"
7,8,102863,"South Africa","ZAF"
7,9,9188,"South Africa","ZAF"
8,1,18902,"South Africa","ZAF"
8,2,46366,"South Africa","ZAF"
8,3,22506,"South Africa","ZAF"
8,4,8573,"South Africa","ZAF"
8,5,14682,"South Africa","ZAF"
8,6,14996,"South Africa","ZAF"
8,7,102863,"South Africa","ZAF"
8,8,1681767,"South Africa","ZAF"
8,9,42712,"South Africa","ZAF"
9,1,58645,"South Africa","ZAF"
9,2,11301,"South Africa","ZAF"
9,3,12393,"South Africa","ZAF"
9,4,8446,"South Africa","ZAF"
9,5,5929,"South Africa","ZAF"
9,6,8101,"South Africa","ZAF"
9,7,9188,"South Africa","ZAF"
9,8,42712,"South Africa","ZAF"
9,9,255243,"South Africa","ZAF"
