"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,3004286,"Zambia","ZMB"
1,10,567552,"Zambia","ZMB"
1,2,506156,"Zambia","ZMB"
1,3,533389,"Zambia","ZMB"
1,4,601782,"Zambia","ZMB"
1,5,710312,"Zambia","ZMB"
1,6,777778,"Zambia","ZMB"
1,7,478589,"Zambia","ZMB"
1,8,604845,"Zambia","ZMB"
1,9,526792,"Zambia","ZMB"
10,1,567552,"Zambia","ZMB"
10,10,17277123,"Zambia","ZMB"
10,2,353047,"Zambia","ZMB"
10,3,552438,"Zambia","ZMB"
10,4,423018,"Zambia","ZMB"
10,5,798230,"Zambia","ZMB"
10,6,487279,"Zambia","ZMB"
10,7,470584,"Zambia","ZMB"
10,8,396566,"Zambia","ZMB"
10,9,879628,"Zambia","ZMB"
2,1,506156,"Zambia","ZMB"
2,10,353047,"Zambia","ZMB"
2,2,1343708,"Zambia","ZMB"
2,3,357042,"Zambia","ZMB"
2,4,688630,"Zambia","ZMB"
2,5,402633,"Zambia","ZMB"
2,6,698237,"Zambia","ZMB"
2,7,718859,"Zambia","ZMB"
2,8,556131,"Zambia","ZMB"
2,9,324859,"Zambia","ZMB"
3,1,533389,"Zambia","ZMB"
3,10,552438,"Zambia","ZMB"
3,2,357042,"Zambia","ZMB"
3,3,8662092,"Zambia","ZMB"
3,4,420996,"Zambia","ZMB"
3,5,798611,"Zambia","ZMB"
3,6,695978,"Zambia","ZMB"
3,7,361408,"Zambia","ZMB"
3,8,415463,"Zambia","ZMB"
3,9,390047,"Zambia","ZMB"
4,1,601782,"Zambia","ZMB"
4,10,423018,"Zambia","ZMB"
4,2,688630,"Zambia","ZMB"
4,3,420996,"Zambia","ZMB"
4,4,12945827,"Zambia","ZMB"
4,5,542806,"Zambia","ZMB"
4,6,819152,"Zambia","ZMB"
4,7,496377,"Zambia","ZMB"
4,8,905343,"Zambia","ZMB"
4,9,367695,"Zambia","ZMB"
5,1,710312,"Zambia","ZMB"
5,10,798230,"Zambia","ZMB"
5,2,402633,"Zambia","ZMB"
5,3,798611,"Zambia","ZMB"
5,4,542806,"Zambia","ZMB"
5,5,748964,"Zambia","ZMB"
5,6,656143,"Zambia","ZMB"
5,7,438311,"Zambia","ZMB"
5,8,550927,"Zambia","ZMB"
5,9,619846,"Zambia","ZMB"
6,1,777778,"Zambia","ZMB"
6,10,487279,"Zambia","ZMB"
6,2,698237,"Zambia","ZMB"
6,3,695978,"Zambia","ZMB"
6,4,819152,"Zambia","ZMB"
6,5,656143,"Zambia","ZMB"
6,6,14644315,"Zambia","ZMB"
6,7,502685,"Zambia","ZMB"
6,8,2245969,"Zambia","ZMB"
6,9,507101,"Zambia","ZMB"
7,1,478589,"Zambia","ZMB"
7,10,470584,"Zambia","ZMB"
7,2,718859,"Zambia","ZMB"
7,3,361408,"Zambia","ZMB"
7,4,496377,"Zambia","ZMB"
7,5,438311,"Zambia","ZMB"
7,6,502685,"Zambia","ZMB"
7,7,8458119,"Zambia","ZMB"
7,8,452279,"Zambia","ZMB"
7,9,364768,"Zambia","ZMB"
8,1,604845,"Zambia","ZMB"
8,10,396566,"Zambia","ZMB"
8,2,556131,"Zambia","ZMB"
8,3,415463,"Zambia","ZMB"
8,4,905343,"Zambia","ZMB"
8,5,550927,"Zambia","ZMB"
8,6,2245969,"Zambia","ZMB"
8,7,452279,"Zambia","ZMB"
8,8,11792392,"Zambia","ZMB"
8,9,350587,"Zambia","ZMB"
9,1,526792,"Zambia","ZMB"
9,10,879628,"Zambia","ZMB"
9,2,324859,"Zambia","ZMB"
9,3,390047,"Zambia","ZMB"
9,4,367695,"Zambia","ZMB"
9,5,619846,"Zambia","ZMB"
9,6,507101,"Zambia","ZMB"
9,7,364768,"Zambia","ZMB"
9,8,350587,"Zambia","ZMB"
9,9,4974423,"Zambia","ZMB"
